id,name,county_full,fips,lat,lon,population,unemployment_rate,median_income,tax_rate,state_id
1001,Autauga,Autauga County,01001,32.5349,-86.6427,58239,2.8,"48,347",0.28,1
1003,Baldwin,Baldwin County,01003,30.7276,-87.7226,227131,3,"54,659",0.34,1
1005,Barbour,Barbour County,01005,31.8696,-85.3932,25259,5.7,"40,428",0.34,1
1007,Bibb,Bibb County,01007,32.9986,-87.1265,22412,3.5,"36,892",0.23,1
1009,Blount,Blount County,01009,33.9809,-86.5674,58884,2.4,"42,634",0.33,1
1011,Bullock,Bullock County,01011,32.1005,-85.7157,10386,4,"33,267",0.38,1
1013,Butler,Butler County,01013,31.7524,-86.6803,19181,5.3,"46,050",0.31,1
1015,Calhoun,Calhoun County,01015,33.7714,-85.826,116425,4.1,"42,621",0.45,1
1017,Chambers,Chambers County,01017,32.9143,-85.392,34834,3.7,"39,728",0.48,1
1019,Cherokee,Cherokee County,01019,34.1759,-85.6038,24975,2.5,"43,719",0.41,1
1021,Chilton,Chilton County,01021,32.8479,-86.7188,44857,2.9,"41,748",0.38,1
1023,Choctaw,Choctaw County,01023,32.0198,-88.2632,12792,4.4,"44,241",0.44,1
1025,Clarke,Clarke County,01025,31.6767,-87.8308,23346,6,"45,232",0.16,1
1027,Clay,Clay County,01027,33.269,-85.8605,14184,2.7,"38,705",0.25,1
1029,Cleburne,Cleburne County,01029,33.6745,-85.5188,15046,2.6,"42,836",0.29,1
1031,Coffee,Coffee County,01031,31.4027,-85.9882,53043,2.8,"49,196",0.39,1
1033,Colbert,Colbert County,01033,34.7005,-87.8049,56789,4,"44,279",0.35,1
1035,Conecuh,Conecuh County,01035,31.4292,-86.9937,11778,4.8,"41,656",0.39,1
1037,Coosa,Coosa County,01037,32.9362,-86.2477,10442,3.1,"38,275",0.19,1
1039,Covington,Covington County,01039,31.2485,-86.4513,37490,3,"41,458",0.38,1
1041,Crenshaw,Crenshaw County,01041,31.7315,-86.3136,13300,3.3,"46,038",0.31,1
1043,Cullman,Cullman County,01043,34.1319,-86.8676,87129,2.4,"46,061",0.28,1
1045,Dale,Dale County,01045,31.4318,-85.611,49443,3.1,"43,916",0.4,1
1047,Dallas,Dallas County,01047,32.326,-87.1065,39162,7.4,"41,850",0.38,1
1049,DeKalb,DeKalb County,01049,34.4598,-85.8041,71554,2.5,"40,026",0.38,1
1051,Elmore,Elmore County,01051,32.5966,-86.1492,87146,2.7,"47,381",0.28,1
1053,Escambia,Escambia County,01053,31.1261,-87.1616,36879,4.1,"39,363",0.52,1
1055,Etowah,Etowah County,01055,34.0453,-86.0348,103468,4.1,"42,558",0.44,1
1057,Fayette,Fayette County,01057,33.7212,-87.7388,16365,3.1,"41,672",0.35,1
1059,Franklin,Franklin County,01059,34.4417,-87.8437,32034,2.5,"40,810",0.34,1
1061,Geneva,Geneva County,01061,31.095,-85.8391,26604,2.8,"41,569",0.31,1
1063,Greene,Greene County,01063,32.8531,-87.9522,7851,6.9,"40,461",0.25,1
1065,Hale,Hale County,01065,32.7627,-87.6291,14819,5.7,"44,085",0.27,1
1067,Henry,Henry County,01067,31.5147,-85.2414,17165,3.2,"51,184",0.32,1
1069,Houston,Houston County,01069,31.1532,-85.3025,106355,3.4,"50,976",0.35,1
1071,Jackson,Jackson County,01071,34.7795,-85.9994,52548,2.9,"43,565",0.24,1
1073,Jefferson,Jefferson County,01073,33.5543,-86.8964,672550,3.6,"62,371",0.82,1
1075,Lamar,Lamar County,01075,33.7791,-88.097,13929,3,"40,114",0.23,1
1077,Lauderdale,Lauderdale County,01077,34.9014,-87.654,93342,3.2,"44,804",0.49,1
1079,Lawrence,Lawrence County,01079,34.5217,-87.311,33089,2.9,"42,996",0.4,1
1081,Lee,Lee County,01081,32.6011,-85.3555,172223,2.8,"45,002",0.48,1
1083,Limestone,Limestone County,01083,34.8101,-86.9814,101217,2.5,"50,326",0.39,1
1085,Lowndes,Lowndes County,01085,32.1547,-86.6501,10334,9.2,"48,852",0.34,1
1087,Macon,Macon County,01087,32.3859,-85.6926,19490,6,"38,412",0.38,1
1089,Madison,Madison County,01089,34.7631,-86.5502,382149,2.7,"59,852",0.5,1
1091,Marengo,Marengo County,01091,32.2477,-87.7895,19397,4.2,"47,008",0.37,1
1093,Marion,Marion County,01093,34.1366,-87.8871,29392,2.8,"40,939",0.33,1
1095,Marshall,Marshall County,01095,34.367,-86.3066,97179,2.4,"44,416",0.43,1
1097,Mobile,Mobile County,01097,30.7872,-88.2058,414620,4.7,"46,418",0.6,1
1099,Monroe,Monroe County,01099,31.5709,-87.3654,20115,5.6,"42,872",0.18,1
1101,Montgomery,Montgomery County,01101,32.2203,-86.2076,229072,4.9,"50,337",0.4,1
1103,Morgan,Morgan County,01103,34.4535,-86.8529,122608,2.6,"47,479",0.41,1
1105,Perry,Perry County,01105,32.6385,-87.2944,8702,8.3,"40,414",0.21,1
1107,Pickens,Pickens County,01107,33.2808,-88.0887,19240,4.1,"43,039",0.3,1
1109,Pike,Pike County,01109,31.8027,-85.9409,33176,3.2,"44,659",0.3,1
1111,Randolph,Randolph County,01111,33.2938,-85.4591,21984,2.7,"41,750",0.24,1
1113,Russell,Russell County,01113,32.2884,-85.1849,58695,3.1,"39,378",0.44,1
1117,Shelby,Shelby County,01117,33.2643,-86.6607,220780,2.6,"47,117",0.52,1
1115,St. Clair,St. Clair County,01115,33.7157,-86.3146,90412,2.1,"64,350",0.29,1
1119,Sumter,Sumter County,01119,32.5911,-88.1988,12482,4.5,"38,253",0.34,1
1121,Talladega,Talladega County,01121,33.3801,-86.1659,81850,4.1,"40,668",0.35,1
1123,Tallapoosa,Tallapoosa County,01123,32.8624,-85.7975,41284,4,"48,344",0.28,1
1125,Tuscaloosa,Tuscaloosa County,01125,33.2896,-87.5251,223945,3.6,"43,439",0.39,1
1127,Walker,Walker County,01127,33.8033,-87.2973,65194,3.6,"47,239",0.27,1
1129,Washington,Washington County,01129,31.4076,-88.2079,15574,4.7,"45,956",0.52,1
1131,Wilcox,Wilcox County,01131,31.9893,-87.3082,10686,11,"39,354",0.26,1
1133,Winston,Winston County,01133,34.1492,-87.3737,23650,2.8,"41,700",0.26,1
2013,Aleutians East,Aleutians East Borough,02013,55.3665,-161.981,3409,2.3,"60,174",0,2
2016,Aleutians West,Aleutians West Census Area,02016,52.798,-106.606,5251,3.6,"65,812",0,2
2020,Anchorage,Anchorage Municipality,02020,61.1508,-149.109,292545,5.8,"72,032",0,2
2050,Bethel,Bethel Census Area,02050,60.9132,-159.819,18514,13.1,"48,189",0,2
2060,Bristol Bay,Bristol Bay Borough,02060,58.7439,-156.7,849,5.6,"155,155",0,2
2063,Chugach,Chugach Census Area,02063,60.7228,-145.775,7015,6.7,"70,362",0,2
