county,county_ascii,county_full,county_fips,state_id,state_name,lat,lon,population,county_unemployment_rate,state_unemployment,county_median_income,tax_rate
Douglas,Douglas,Douglas County,32005,NV,Nevada,38.9123,-119.616,49158,3.3,7.2,"52,754",7.10
Elko,Elko,Elko County,32007,NV,Nevada,41.1457,-115.358,53420,3.8,7.2,"55,007",7.10
Esmeralda,Esmeralda,Esmeralda County,32009,NV,Nevada,37.7846,-117.632,987,2.6,7.2,"49,606",6.85
Eureka,Eureka,Eureka County,32011,NV,Nevada,39.9838,-116.269,1603,3.4,7.2,"53,564",6.85
Humboldt,Humboldt,Humboldt County,32013,NV,Nevada,41.4068,-118.112,17218,3.6,7.2,"72,511",7.10
Lander,Lander,Lander County,32015,NV,Nevada,39.9337,-117.038,5729,3.4,7.2,"53,269",7.10
Lincoln,Lincoln,Lincoln County,32017,NV,Nevada,37.6433,-114.878,4600,5.2,7.2,"48,247",7.10
Lyon,Lyon,Lyon County,32019,NV,Nevada,39.0206,-119.189,58029,3.8,7.2,"48,836",7.60
Mineral,Mineral,Mineral County,32021,NV,Nevada,38.5386,-118.435,4552,6.1,7.2,"42,796",6.85
Nye,Nye,Nye County,32023,NV,Nevada,38.0423,-116.472,50096,3.6,7.2,"39,688",7.60
Pershing,Pershing,Pershing County,32027,NV,Nevada,40.4404,-118.404,6668,4.6,7.2,"77,775",7.10
Storey,Storey,Storey County,32029,NV,Nevada,39.447,-119.529,4047,4.3,7.2,"71,436",7.60
Washoe,Washoe,Washoe County,32031,NV,Nevada,40.6655,-119.664,479758,3,7.2,"56,241",8.27
White Pine,White Pine,White Pine County,32033,NV,Nevada,39.4421,-114.902,9192,4.8,7.2,"60,445",7.73
Belknap,Belknap,Belknap County,33001,NH,New Hampshire,43.5179,-71.4227,63395,3.7,3.5,"71,958",0
Carroll,Carroll,Carroll County,33003,NH,New Hampshire,43.8738,-71.2031,49961,3.8,3.5,"69,803",0
Cheshire,Cheshire,Cheshire County,33005,NH,New Hampshire,42.9193,-72.2512,76473,3.9,3.5,"64,870",0
Coos,Coos,Coos County,33007,NH,New Hampshire,44.6896,-71.3056,31360,4.4,3.5,"52,132",0
Grafton,Grafton,Grafton County,33009,NH,New Hampshire,43.9407,-71.8208,91025,3.3,3.5,"74,813",0
Hillsborough,Hillsborough,Hillsborough County,33011,NH,New Hampshire,42.9153,-71.7161,420504,3.6,3.5,"71,849",0
Merrimack,Merrimack,Merrimack County,33013,NH,New Hampshire,43.2975,-71.6802,152983,3.2,3.5,"68,222",0
Rockingham,Rockingham,Rockingham County,33015,NH,New Hampshire,42.9875,-71.1254,312771,3.5,3.5,"88,303",0
Strafford,Strafford,Strafford County,33017,NH,New Hampshire,43.2969,-71.0289,130598,3.3,3.5,"61,139",0
Sullivan,Sullivan,Sullivan County,33019,NH,New Hampshire,43.3613,-72.2221,43105,3.3,3.5,"63,225",0
Atlantic,Atlantic,Atlantic County,34001,NJ,New Jersey,39.4777,-74.661,273865,9.5,6.3,"58,310",6.63
Bergen,Bergen,Bergen County,34003,NJ,New Jersey,40.9597,-74.0742,952979,6,6.3,"97,343",6.63
Burlington,Burlington,Burlington County,34005,NJ,New Jersey,39.8777,-74.6681,460102,5.3,6.3,"69,496",6.63
Camden,Camden,Camden County,34007,NJ,New Jersey,39.8035,-74.9597,521194,6.8,6.3,"61,642",6.63
Cape May,Cape May,Cape May County,34009,NJ,New Jersey,39.1496,-74.8002,95488,8.9,6.3,"72,010",6.63
Cumberland,Cumberland,Cumberland County,34011,NJ,New Jersey,39.3738,-75.1107,154921,7.7,6.3,"47,559",8.63
Essex,Essex,Essex County,34013,NJ,New Jersey,40.7872,-74.247,852720,8,6.3,"74,310",6.63
Gloucester,Gloucester,Gloucester County,34015,NJ,New Jersey,39.7173,-75.1414,300821,6,6.3,"62,553",6.63
Hudson,Hudson,Hudson County,34017,NJ,New Jersey,40.7371,-74.0779,713264,6.8,6.3,"72,046",6.63
Hunterdon,Hunterdon,Hunterdon County,34019,NJ,New Jersey,40.5673,-74.9122,128807,4.6,6.3,"100,288",6.63
Mercer,Mercer,Mercer County,34021,NJ,New Jersey,40.2834,-74.7018,384951,5.2,6.3,"77,911",6.63
Middlesex,Middlesex,Middlesex County,34023,NJ,New Jersey,40.4392,-74.4117,858770,5.7,6.3,"70,221",6.63
Monmouth,Monmouth,Monmouth County,34025,NJ,New Jersey,40.2603,-74.2213,642160,5.5,6.3,"92,119",6.63
Morris,Morris,Morris County,34027,NJ,New Jersey,40.862,-74.5445,508347,5,6.3,"107,767",6.63
Ocean,Ocean,Ocean County,34029,NJ,New Jersey,39.8855,-74.2813,630057,6,6.3,"60,823",6.63
Passaic,Passaic,Passaic County,34031,NJ,New Jersey,41.0343,-74.3008,521067,8.4,6.3,"59,559",6.63
Salem,Salem,Salem County,34033,NJ,New Jersey,39.5876,-75.3491,64752,7.3,6.3,"57,547",6.63
Somerset,Somerset,Somerset County,34035,NJ,New Jersey,40.5635,-74.6163,343950,5.1,6.3,"113,975",6.63
Sussex,Sussex,Sussex County,34037,NJ,New Jersey,41.1393,-74.6908,144492,5.9,6.3,"71,059",6.63
Union,Union,Union County,34039,NJ,New Jersey,40.6601,-74.3087,571963,6.7,6.3,"77,007",6.63
Warren,Warren,Warren County,34041,NJ,New Jersey,40.8572,-74.9973,109354,5.5,6.3,"63,041",6.63
Bernalillo,Bernalillo,Bernalillo County,35001,NM,New Mexico,35.0514,-106.67,674919,6.2,6.8,"53,616",8.00
Catron,Catron,Catron County,35003,NM,New Mexico,33.9152,-108.405,3581,6.2,6.8,"37,990",7.88
Chaves,Chaves,Chaves County,35005,NM,New Mexico,33.3633,-104.467,65014,7.1,6.8,"45,577",7.77
Cibola,Cibola,Cibola County,35006,NM,New Mexico,34.9125,-108,27284,9.3,6.8,"34,627",8.00
Colfax,Colfax,Colfax County,35007,NM,New Mexico,36.6061,-104.647,12406,5.9,6.8,"47,563",8.38
Curry,Curry,Curry County,35009,NM,New Mexico,34.5742,-103.347,48716,4.9,6.8,"52,015",8.06
De Baca,De Baca,De Baca County,35011,NM,New Mexico,34.3425,-104.412,1873,5.1,6.8,"56,384",7.94
Doña Ana,Dona Ana,Doña Ana County,35013,NM,New Mexico,32.3526,-106.833,218157,6.6,6.8,"45,045",8.50
Eddy,Eddy,Eddy County,35015,NM,New Mexico,32.4714,-104.304,61096,6.4,6.8,"62,888",7.77
Grant,Grant,Grant County,35017,NM,New Mexico,32.7389,-108.382,28178,7.3,6.8,"48,537",8.24
Guadalupe,Guadalupe,Guadalupe County,35019,NM,New Mexico,34.8633,-104.791,4465,7,6.8,"43,255",8.49
Harding,Harding,Harding County,35021,NM,New Mexico,35.8579,-103.82,533,4.6,6.8,"49,695",7.27
Hidalgo,Hidalgo,Hidalgo County,35023,NM,New Mexico,31.914,-108.715,4214,5.4,6.8,"51,465",7.63
Lea,Lea,Lea County,35025,NM,New Mexico,32.7921,-103.413,72743,9.6,6.8,"48,578",7.31
Lincoln,Lincoln,Lincoln County,35027,NM,New Mexico,33.7453,-105.459,20084,7.5,6.8,"47,703",8.31
Los Alamos,Los Alamos,Los Alamos County,35028,NM,New Mexico,35.8693,-106.307,19169,3,6.8,"81,306",7.19
Luna,Luna,Luna County,35029,NM,New Mexico,32.1822,-107.75,25282,15.2,6.8,"38,494",8.38
McKinley,McKinley,McKinley County,35031,NM,New Mexico,35.5807,-108.262,72946,9.6,6.8,"34,939",8.19
Mora,Mora,Mora County,35033,NM,New Mexico,36.0105,-104.945,4232,6.2,6.8,"51,939",7.65
Otero,Otero,Otero County,35035,NM,New Mexico,32.6132,-105.742,67298,6.6,6.8,"41,657",8.00
Quay,Quay,Quay County,35037,NM,New Mexico,35.1043,-103.55,8675,7.1,6.8,"44,798",8.25
Rio Arriba,Rio Arriba,Rio Arriba County,35039,NM,New Mexico,36.5096,-106.693,40347,7,6.8,"42,467",8.94
Roosevelt,Roosevelt,Roosevelt County,35041,NM,New Mexico,34.0212,-103.48,19223,5.6,6.8,"45,456",8.06
San Juan,San Juan,San Juan County,35045,NM,New Mexico,36.5085,-108.321,122912,6.6,6.8,"51,807",8.31
San Miguel,San Miguel,San Miguel County,35047,NM,New Mexico,35.4805,-104.816,27357,8,6.8,"41,735",8.27
Sandoval,Sandoval,Sandoval County,35043,NM,New Mexico,35.6886,-106.866,147327,7.3,6.8,"44,889",8.19
Santa Fe,Santa Fe,Santa Fe County,35049,NM,New Mexico,35.5069,-105.976,153632,6.2,6.8,"69,528",8.94
Sierra,Sierra,Sierra County,35051,NM,New Mexico,33.1305,-107.192,11512,8.1,6.8,"49,778",8.50
Socorro,Socorro,Socorro County,35053,NM,New Mexico,34.0072,-106.93,16605,6.3,6.8,"42,389",7.69
Taos,Taos,Taos County,35055,NM,New Mexico,36.5783,-105.631,34322,8.9,6.8,"44,709",8.81
Torrance,Torrance,Torrance County,35057,NM,New Mexico,34.6405,-105.851,15150,7.9,6.8,"41,423",8.06
Union,Union,Union County,35059,NM,New Mexico,36.4816,-103.471,4122,4.2,6.8,"41,350",8.00
Valencia,Valencia,Valencia County,35061,NM,New Mexico,34.7155,-106.809,75992,6.9,6.8,"43,485",8.55
Albany,Albany,Albany County,36001,NY,New York,42.6002,-73.9736,314679,4.4,6.9,"70,947",8.00
Allegany,Allegany,Allegany County,36003,NY,New York,42.2574,-78.0276,46654,5,6.9,"42,569",8.50
Bronx,Bronx,Bronx County,36005,NY,New York,40.8501,-73.866,1468262,13.6,6.9,"46,834",8.88
Broome,Broome,Broome County,36007,NY,New York,42.1602,-75.8196,198591,5.2,6.9,"50,657",8.00
Cattaraugus,Cattaraugus,Cattaraugus County,36009,NY,New York,42.2486,-78.6788,77211,5.3,6.9,"46,775",8.75
Cayuga,Cayuga,Cayuga County,36011,NY,New York,42.9175,-76.5545,76644,4.7,6.9,"51,431",8.00
Chautauqua,Chautauqua,Chautauqua County,36013,NY,New York,42.2281,-79.3663,128042,5.6,6.9,"47,642",8.00
Chemung,Chemung,Chemung County,36015,NY,New York,42.1413,-76.76,84456,5.3,6.9,"52,360",8.00
Chenango,Chenango,Chenango County,36017,NY,New York,42.4935,-75.6116,47407,4.4,6.9,"50,568",8.00
Clinton,Clinton,Clinton County,36019,NY,New York,44.7462,-73.6782,80095,4.6,6.9,"50,625",8.00
Columbia,Columbia,Columbia County,36021,NY,New York,42.2501,-73.6318,61587,3.8,6.9,"65,426",8.13
Cortland,Cortland,Cortland County,36023,NY,New York,42.595,-76.0703,46984,5.1,6.9,"48,617",8.00
Delaware,Delaware,Delaware County,36025,NY,New York,42.1981,-74.9665,44644,4.6,6.9,"48,644",8.00
Dutchess,Dutchess,Dutchess County,36027,NY,New York,41.7652,-73.7429,296012,4.4,6.9,"67,256",8.38
Erie,Erie,Erie County,36029,NY,New York,42.764,-78.7323,949715,5.5,6.9,"57,625",8.75
Essex,Essex,Essex County,36031,NY,New York,44.1172,-73.7726,37501,4.7,6.9,"54,109",8.00
Franklin,Franklin,Franklin County,36033,NY,New York,44.5929,-74.3038,47996,4.7,6.9,"48,658",8.00
Fulton,Fulton,Fulton County,36035,NY,New York,43.1138,-74.4222,53588,5.5,6.9,"51,558",8.25
Genesee,Genesee,Genesee County,36037,NY,New York,43.0009,-78.1937,58387,4.3,6.9,"50,662",8.75
Greene,Greene,Greene County,36039,NY,New York,42.2765,-74.1227,48026,4.9,6.9,"55,805",8.00
Hamilton,Hamilton,Hamilton County,36041,NY,New York,43.6611,-74.4974,5068,4.4,6.9,"54,556",8.25
Herkimer,Herkimer,Herkimer County,36043,NY,New York,43.4193,-74.9624,60596,5.8,6.9,"51,946",8.75
Jefferson,Jefferson,Jefferson County,36045,NY,New York,44.0495,-75.921,117634,5,6.9,"53,130",8.00
Kings,Kings,Kings County,36047,NY,New York,40.6395,-73.9385,2712360,10.1,6.9,"61,851",8.88
Lewis,Lewis,Lewis County,36049,NY,New York,43.7851,-75.4486,26681,5,6.9,"54,629",8.75
Livingston,Livingston,Livingston County,36051,NY,New York,42.7281,-77.7755,62253,4.3,6.9,"52,209",8.50
Madison,Madison,Madison County,36053,NY,New York,42.9128,-75.6696,68466,4.5,6.9,"54,766",8.75
Monroe,Monroe,Monroe County,36055,NY,New York,43.1464,-77.6961,757332,5.2,6.9,"60,046",8.00
Montgomery,Montgomery,Montgomery County,36057,NY,New York,42.9023,-74.4397,49539,5.7,6.9,"48,821",8.25
Nassau,Nassau,Nassau County,36059,NY,New York,40.7328,-73.5865,1391678,4.5,6.9,"99,597",8.88
New York,New York,New York County,36061,NY,New York,40.7785,-73.9674,1669127,7.6,6.9,"195,543",8.88
Niagara,Niagara,Niagara County,36063,NY,New York,43.2001,-78.7452,212808,5.7,6.9,"53,137",8.75
Oneida,Oneida,Oneida County,36065,NY,New York,43.2418,-75.4358,232034,5.1,6.9,"53,172",8.75
Onondaga,Onondaga,Onondaga County,36067,NY,New York,43.0058,-76.1946,474621,4.9,6.9,"60,992",8.00
Ontario,Ontario,Ontario County,36069,NY,New York,42.8528,-77.2998,112060,4.3,6.9,"62,051",8.00
Orange,Orange,Orange County,36071,NY,New York,41.4022,-74.3056,398277,4.7,6.9,"58,883",8.38
Orleans,Orleans,Orleans County,36073,NY,New York,43.2521,-78.2312,40588,5.2,6.9,"46,322",8.00
Oswego,Oswego,Oswego County,36075,NY,New York,43.4269,-76.1413,118019,5.5,6.9,"48,574",8.75
Otsego,Otsego,Otsego County,36077,NY,New York,42.6338,-75.0326,58952,4.4,6.9,"53,431",8.25
Putnam,Putnam,Putnam County,36079,NY,New York,41.4267,-73.7495,97960,4.2,6.9,"78,754",8.38
Queens,Queens,Queens County,36081,NY,New York,40.7023,-73.8203,2393104,9.6,6.9,"58,646",8.88
Rensselaer,Rensselaer,Rensselaer County,36083,NY,New York,42.7111,-73.5097,161125,4.4,6.9,"58,126",8.00
Richmond,Richmond,Richmond County,36085,NY,New York,40.5808,-74.1524,493194,8.7,6.9,"65,113",8.88
Rockland,Rockland,Rockland County,36087,NY,New York,41.1525,-74.0242,336485,4.4,6.9,"69,173",8.38
Saratoga,Saratoga,Saratoga County,36091,NY,New York,43.1074,-73.8639,235010,5.1,6.9,"45,626",8.00
Schenectady,Schenectady,Schenectady County,36093,NY,New York,42.8181,-74.0586,157515,3.8,6.9,"75,651",8.00
Schoharie,Schoharie,Schoharie County,36095,NY,New York,42.5882,-74.4421,29936,4.9,6.9,"62,484",8.00
Schuyler,Schuyler,Schuyler County,36097,NY,New York,42.3938,-76.8752,17920,4.5,6.9,"52,027",8.00
Seneca,Seneca,Seneca County,36099,NY,New York,42.7811,-76.8238,33900,4.9,6.9,"49,811",8.00
St. Lawrence,St. Lawrence,St. Lawrence County,36089,NY,New York,44.4964,-75.0691,108836,4.7,6.9,"47,269",8.00
Steuben,Steuben,Steuben County,36101,NY,New York,42.2678,-77.3838,94153,5,6.9,"54,238",8.50
Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8686,-72.8448,1522998,4.6,6.9,"81,309",8.63
Sullivan,Sullivan,Sullivan County,36105,NY,New York,41.7164,-74.7681,78230,4.9,6.9,"53,874",8.13
Tioga,Tioga,Tioga County,36107,NY,New York,42.1703,-76.3063,48567,4.4,6.9,"53,919",8.00
Tompkins,Tompkins,Tompkins County,36109,NY,New York,42.452,-76.4736,105638,3.7,6.9,"51,377",8.00
Ulster,Ulster,Ulster County,36111,NY,New York,41.8881,-74.2586,181862,4.7,6.9,"60,557",8.13
